,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kongolo,0,CD,1531164116,35,-5.39,27.0,80.71,5.17
1,Kapuskasing,20,CA,1531162800,30,49.42,-82.43,80.6,12.75
2,Viking,8,CA,1531164117,60,53.1,-111.78,73.06,10.65
3,Mchinji,56,MW,1531164117,71,-13.8,32.89,63.61,5.39
4,Bonfim,64,GY,1531164118,99,3.36,-59.84,77.02,11.21
5,Rikitea,56,PF,1531164118,100,-23.12,-134.97,71.08,16.8
6,Celestun,20,MX,1531164119,95,20.87,-90.4,83.95,10.87
7,Lensk,48,RU,1531164119,90,60.71,114.91,59.92,3.15
8,Hovd,0,NO,1531162200,63,63.83,10.7,60.8,6.93
9,Bilibino,8,RU,1531164120,72,68.06,166.44,49.21,2.59
10,Cherskiy,44,RU,1531164120,85,68.75,161.3,34.54,7.74
11,Mato Verde,20,BR,1531164120,39,-15.4,-42.86,81.43,6.51
12,Paamiut,0,GL,1531164121,97,61.99,-49.67,40.3,12.88
13,Hobart,20,AU,1531162800,80,-42.88,147.33,41.0,5.82
14,Samarai,92,PG,1531164122,100,-10.62,150.67,75.31,17.69
15,Algeciras,0,ES,1531162800,83,36.13,-5.45,75.2,5.82
16,San Pedro del Pinatar,0,ES,1531162800,61,37.84,-0.79,91.4,10.29
17,Presidencia Roque Saenz Pena,0,AR,1531164123,71,-26.79,-60.44,57.76,12.1
18,Storforshei,40,NO,1531162200,59,66.4,14.52,60.8,3.36
19,Winsum,90,NL,1531162500,67,53.33,6.52,59.0,9.17
20,Mehamn,75,NO,1531158600,71,71.03,27.85,55.4,6.93
21,Lipin Bor,92,RU,1531164124,100,60.26,37.97,63.25,16.24
22,Guangyuan,92,CN,1531164124,100,32.43,105.86,68.38,0.69
23,Dikson,0,RU,1531164125,92,73.51,80.55,42.46,15.46
24,Sorsk,0,RU,1531164125,73,54.0,90.25,49.75,5.17
25,Kastamonu,8,TR,1531164125,82,41.38,33.78,64.42,2.37
26,Ponta do Sol,0,BR,1531164126,40,-20.63,-46.0,79.54,8.41
27,Banda Aceh,76,ID,1531164056,89,5.56,95.32,77.38,6.85
28,Batangafo,80,CF,1531164126,87,7.3,18.29,72.16,9.86
29,Birjand,0,IR,1531159200,14,32.86,59.22,82.4,16.8
30,Shelburne,20,CA,1531162800,33,44.08,-80.2,89.6,16.11
31,Ibra,0,OM,1531164128,37,22.69,58.55,82.96,2.15
32,Kyrylivka,100,UA,1531164128,47,47.65,37.3,80.8,3.15
33,Ziway,100,ET,1531164128,100,7.93,38.72,54.52,1.7
34,Lasa,20,CY,1531162800,78,34.92,32.53,80.6,9.17
35,Mayo,75,CA,1531162800,40,63.59,-135.9,68.0,10.29
36,Havre-Saint-Pierre,75,CA,1531162800,63,50.23,-63.6,66.2,14.99
37,Alexandria,1,US,1531162500,58,31.31,-92.44,87.8,10.29
38,Natal,75,BR,1531159200,58,-5.81,-35.21,84.2,18.34
39,Sumkino,48,RU,1531164131,73,58.11,68.32,70.18,5.17
40,Vardo,5,US,1531162500,39,39.62,-77.74,87.8,3.36
41,Bouafle,0,FR,1531162800,49,48.96,1.9,75.2,9.17
42,Havoysund,75,NO,1531162200,82,71.0,24.66,55.4,4.7
43,Alta,0,NO,1531162200,71,69.97,23.27,62.6,16.11
44,Bhatkal,92,IN,1531164133,100,13.97,74.57,73.96,11.65
45,Bandar,24,ID,1531164133,94,-4.2,104.14,73.15,3.83
46,Namibe,0,AO,1531164133,89,-15.19,12.15,73.33,10.42
47,Filimonovo,32,RU,1531164134,65,54.21,39.6,67.57,6.29
48,Rome,0,IT,1531162500,28,41.89,12.48,87.8,10.29
49,Tolaga Bay,0,NZ,1531164090,66,-38.37,178.3,50.56,19.71
50,Port Hedland,0,AU,1531162800,58,-20.31,118.58,53.6,4.7
51,Quang Ngai,100,VN,1531163889,99,15.12,108.8,73.24,2.15
52,Luderitz,0,NA,1531164135,53,-26.65,15.16,64.33,11.54
53,Salgueiro,0,BR,1531164136,25,-8.07,-39.12,89.08,10.65
54,Ust-Kulom,76,RU,1531164136,97,61.69,53.69,63.25,6.17
55,Iqaluit,90,CA,1531162800,61,63.75,-68.52,46.4,9.17
